Vftable	Methods	Flags	Type	Hierarchy
01420A3610	3		xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::Callable<<lambda_61b087fab43f1ecbd5687bb7d9707071> >	struct xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::Callable<<lambda_61b087fab43f1ecbd5687bb7d9707071> >: struct xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::ICallable;
01420A3630	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::vector<XblMultiplayerActivityDetails,xbox::services::Allocator<XblMultiplayerActivityDetails> > >)>::Callable<<lambda_a21eed6419dc5f1daad3594896346217> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::vector<XblMultiplayerActivityDetails,xbox::services::Allocator<XblMultiplayerActivityDetails> > >)>::Callable<<lambda_a21eed6419dc5f1daad3594896346217> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::vector<XblMultiplayerActivityDetails,xbox::services::Allocator<XblMultiplayerActivityDetails> > >)>::ICallable;
01420A3650	3		xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::Callable<<lambda_151469787ade56b7b1c90068f41822f1> >	struct xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::Callable<<lambda_151469787ade56b7b1c90068f41822f1> >: struct xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::ICallable;
01420A3690	3		xbox::services::Function<void __cdecl(XblMultiplayerSessionChangeEventArgs const & __ptr64)>::Callable<<lambda_0e7345ef932ced3cf7d8898091e00acf> >	struct xbox::services::Function<void __cdecl(XblMultiplayerSessionChangeEventArgs const & __ptr64)>::Callable<<lambda_0e7345ef932ced3cf7d8898091e00acf> >: struct xbox::services::Function<void __cdecl(XblMultiplayerSessionChangeEventArgs const & __ptr64)>::ICallable;
01420A36B0	3		xbox::services::Function<void __cdecl(void)>::Callable<<lambda_6189a154dfc78490c4a5bff0cf915fc5> >	struct xbox::services::Function<void __cdecl(void)>::Callable<<lambda_6189a154dfc78490c4a5bff0cf915fc5> >: struct xbox::services::Function<void __cdecl(void)>::ICallable;
01420A36D0	3		xbox::services::Function<void __cdecl(std::basic_string<char,std::char_traits<char>,xbox::services::Allocator<char> > const & __ptr64)>::Callable<<lambda_4df933ad2bc9d980db46df41071d87ba> >	struct xbox::services::Function<void __cdecl(std::basic_string<char,std::char_traits<char>,xbox::services::Allocator<char> > const & __ptr64)>::Callable<<lambda_4df933ad2bc9d980db46df41071d87ba> >: struct xbox::services::Function<void __cdecl(std::basic_string<char,std::char_traits<char>,xbox::services::Allocator<char> > const & __ptr64)>::ICallable;
01420A36F0	4	M	std::_Ref_count_obj_alloc3<XblMultiplayerSession,xbox::services::Allocator<XblMultiplayerSession> >	std::_Ref_count_obj_alloc3<XblMultiplayerSession,xbox::services::Allocator<XblMultiplayerSession> >: std::_Ebco_base<xbox::services::Allocator<XblMultiplayerSession>,1>, struct xbox::services::Allocator<XblMultiplayerSession>, std::_Ref_count_base;
01420A3718	4	M	 ?? :: ?? 	 ?? :: ?? :  ?? :: ?? , struct  ?? :: ?? , std::_Ref_count_base;
01420A3740	4	M	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::MultiplayerSubscription,xbox::services::Allocator<xbox::services::multiplayer::MultiplayerSubscription> >	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::MultiplayerSubscription,xbox::services::Allocator<xbox::services::multiplayer::MultiplayerSubscription> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::multiplayer::MultiplayerSubscription>,1>, struct xbox::services::Allocator<xbox::services::multiplayer::MultiplayerSubscription>, std::_Ref_count_base;
01420A4350	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_5c6514c5b8f6dada1c3ab03815ff9a93> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_5c6514c5b8f6dada1c3ab03815ff9a93> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A4370	3		xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::Callable<<lambda_1f7feeddb8059ffe3606d5cb847d6c54> >	struct xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::Callable<<lambda_1f7feeddb8059ffe3606d5cb847d6c54> >: struct xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::ICallable;
01420A4390	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_a9cccc71ffac6778d82266ebbc6fcf81> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_a9cccc71ffac6778d82266ebbc6fcf81> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A43B0	3		xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::Callable<<lambda_dbb51d94b5584f43b02027f0a270a56a> >	struct xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::Callable<<lambda_dbb51d94b5584f43b02027f0a270a56a> >: struct xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::ICallable;
01420A43D0	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_e5ac5bd5c1a6a7a1283c726308349252> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_e5ac5bd5c1a6a7a1283c726308349252> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A43F0	3		xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::Callable<<lambda_0e4b64f7e10a7fafdb688c1a20784caf> >	struct xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::Callable<<lambda_0e4b64f7e10a7fafdb688c1a20784caf> >: struct xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::ICallable;
01420A4410	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_f0df25be461536b8fbef53f653e013b4> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_f0df25be461536b8fbef53f653e013b4> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A4430	3		xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::Callable<<lambda_ae21a270c769a41d877abc9d9b31ad63> >	struct xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::Callable<<lambda_ae21a270c769a41d877abc9d9b31ad63> >: struct xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::ICallable;
01420A48C8	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_07e3a43eaea9a64e1dc019732de83106> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_07e3a43eaea9a64e1dc019732de83106> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A48E8	3		xbox::services::Function<void __cdecl(xbox::services::Result<xbox::services::privacy::PermissionCheckResult>)>::Callable<<lambda_7bf4d3843f8366a2e6f165cb006a1325> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<xbox::services::privacy::PermissionCheckResult>)>::Callable<<lambda_7bf4d3843f8366a2e6f165cb006a1325> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<xbox::services::privacy::PermissionCheckResult>)>::ICallable;
01420A4A00	3		xbox::services::Function<void __cdecl(xbox::services::Result<xbox::services::privacy::PermissionCheckResult>)>::Callable<<lambda_50c064478b4c1c7683cd319bafb59513> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<xbox::services::privacy::PermissionCheckResult>)>::Callable<<lambda_50c064478b4c1c7683cd319bafb59513> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<xbox::services::privacy::PermissionCheckResult>)>::ICallable;
01420A4A20	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_3bbe68698a13db4865525d653972cef9> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_3bbe68698a13db4865525d653972cef9> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A4A40	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_c2369676501783f3ebca59fd133b7a20> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_c2369676501783f3ebca59fd133b7a20> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A4A60	6		std::_Func_impl_no_alloc<<lambda_75782c0a02706efb47691df675d5b095>,bool,int>	std::_Func_impl_no_alloc<<lambda_75782c0a02706efb47691df675d5b095>,bool,int>: std::_Func_base<bool,int>;
01420A4B38	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_faa47c50cf3feb5b9909a112df48981f> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_faa47c50cf3feb5b9909a112df48981f> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A4B58	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_06fcbdcd80dbb09b3f6d5bfae3a84852> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_06fcbdcd80dbb09b3f6d5bfae3a84852> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A4B78	3		xbox::services::Function<void __cdecl(void)>::Callable<<lambda_4b91c9dfc77958b55903d4ee60c899df> >	struct xbox::services::Function<void __cdecl(void)>::Callable<<lambda_4b91c9dfc77958b55903d4ee60c899df> >: struct xbox::services::Function<void __cdecl(void)>::ICallable;
01420A4B98	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::vector<xbox::services::user_statistics::UserStatisticsResult,xbox::services::Allocator<xbox::services::user_statistics::UserStatisticsResult> > >)>::Callable<<lambda_feb5a39556e850d638f58975155d26d1> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::vector<xbox::services::user_statistics::UserStatisticsResult,xbox::services::Allocator<xbox::services::user_statistics::UserStatisticsResult> > >)>::Callable<<lambda_feb5a39556e850d638f58975155d26d1> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::vector<xbox::services::user_statistics::UserStatisticsResult,xbox::services::Allocator<xbox::services::user_statistics::UserStatisticsResult> > >)>::ICallable;
01420A4BB8	4	M	std::_Ref_count_obj_alloc3<xbox::services::user_statistics::StatisticChangeSubscription,xbox::services::Allocator<xbox::services::user_statistics::StatisticChangeSubscription> >	std::_Ref_count_obj_alloc3<xbox::services::user_statistics::StatisticChangeSubscription,xbox::services::Allocator<xbox::services::user_statistics::StatisticChangeSubscription> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::user_statistics::StatisticChangeSubscription>,1>, struct xbox::services::Allocator<xbox::services::user_statistics::StatisticChangeSubscription>, std::_Ref_count_base;
01420A4C80	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_6ae8f1e08cd16e0b4dc05b2f40386481> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_6ae8f1e08cd16e0b4dc05b2f40386481> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A4CA0	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_3619acbdc5a5d412f402ed107192d65b> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_3619acbdc5a5d412f402ed107192d65b> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A4FD8	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_b16e4b4e2ee451b03ed91f081e19ac84> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_b16e4b4e2ee451b03ed91f081e19ac84> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A4FF8	3		xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::Callable<<lambda_bd47ccd1f549c4d3c9cb7065a95d5551> >	struct xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::Callable<<lambda_bd47ccd1f549c4d3c9cb7065a95d5551> >: struct xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::ICallable;
01420A5018	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_638a2e585029257e111acff22d2af3af> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_638a2e585029257e111acff22d2af3af> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A5038	3		xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::Callable<<lambda_4427acff5f06d6920a51ba15068680aa> >	struct xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::Callable<<lambda_4427acff5f06d6920a51ba15068680aa> >: struct xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::ICallable;
01420A5058	4	M	std::_Ref_count_obj_alloc3<xbox::services::leaderboard::LeaderboardGlobalQuery,xbox::services::Allocator<xbox::services::leaderboard::LeaderboardGlobalQuery> >	std::_Ref_count_obj_alloc3<xbox::services::leaderboard::LeaderboardGlobalQuery,xbox::services::Allocator<xbox::services::leaderboard::LeaderboardGlobalQuery> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::leaderboard::LeaderboardGlobalQuery>,1>, struct xbox::services::Allocator<xbox::services::leaderboard::LeaderboardGlobalQuery>, std::_Ref_count_base;
01420A5080	4	M	std::_Ref_count_obj_alloc3<xbox::services::leaderboard::LeaderboardSocialQuery,xbox::services::Allocator<xbox::services::leaderboard::LeaderboardSocialQuery> >	std::_Ref_count_obj_alloc3<xbox::services::leaderboard::LeaderboardSocialQuery,xbox::services::Allocator<xbox::services::leaderboard::LeaderboardSocialQuery> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::leaderboard::LeaderboardSocialQuery>,1>, struct xbox::services::Allocator<xbox::services::leaderboard::LeaderboardSocialQuery>, std::_Ref_count_base;
01420A50A8	6		std::_Func_impl_no_alloc<<lambda_9a432744e1cb00dbe378585b79c98af4>,bool,int>	std::_Func_impl_no_alloc<<lambda_9a432744e1cb00dbe378585b79c98af4>,bool,int>: std::_Func_base<bool,int>;
01420A50E0	6		std::_Func_impl_no_alloc<<lambda_a1ce4f47dfd624e874b64b622bff3e47>,bool,int>	std::_Func_impl_no_alloc<<lambda_a1ce4f47dfd624e874b64b622bff3e47>,bool,int>: std::_Func_base<bool,int>;
01420A5140	3	M	xbox::services::events::EventsService	xbox::services::events::EventsService: xbox::services::events::IEventsService, std::enable_shared_from_this<xbox::services::events::EventsService>;
01420A5258	3		xbox::services::Function<void __cdecl(void)>::Callable<<lambda_24d53c68ef3f150a2372ae952dffe14f> >	struct xbox::services::Function<void __cdecl(void)>::Callable<<lambda_24d53c68ef3f150a2372ae952dffe14f> >: struct xbox::services::Function<void __cdecl(void)>::ICallable;
01420A5278	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_a37f5ecaa7bf83422c0c0c32a51c226f> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_a37f5ecaa7bf83422c0c0c32a51c226f> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A5298	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_b055d90cf710ea1d2e2aac5e28438688> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_b055d90cf710ea1d2e2aac5e28438688> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A52B8	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_08d7cfb21b8adaacb6f21fe410548552> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_08d7cfb21b8adaacb6f21fe410548552> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A52D8	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::vector<std::shared_ptr<XblPresenceRecord>,xbox::services::Allocator<std::shared_ptr<XblPresenceRecord> > > >)>::Callable<<lambda_048ae3a012ff5bd7b70838b296109b96> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::vector<std::shared_ptr<XblPresenceRecord>,xbox::services::Allocator<std::shared_ptr<XblPresenceRecord> > > >)>::Callable<<lambda_048ae3a012ff5bd7b70838b296109b96> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::vector<std::shared_ptr<XblPresenceRecord>,xbox::services::Allocator<std::shared_ptr<XblPresenceRecord> > > >)>::ICallable;
01420A52F8	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblPresenceRecord> >)>::Callable<<lambda_04c4a98f55702096e0823a852244f3aa> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblPresenceRecord> >)>::Callable<<lambda_04c4a98f55702096e0823a852244f3aa> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblPresenceRecord> >)>::ICallable;
01420A5318	4	M	std::_Ref_count_obj_alloc3<xbox::services::presence::TitlePresenceChangeSubscription,xbox::services::Allocator<xbox::services::presence::TitlePresenceChangeSubscription> >	std::_Ref_count_obj_alloc3<xbox::services::presence::TitlePresenceChangeSubscription,xbox::services::Allocator<xbox::services::presence::TitlePresenceChangeSubscription> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::presence::TitlePresenceChangeSubscription>,1>, struct xbox::services::Allocator<xbox::services::presence::TitlePresenceChangeSubscription>, std::_Ref_count_base;
01420A5340	4	M	std::_Ref_count_obj_alloc3<xbox::services::presence::DevicePresenceChangeSubscription,xbox::services::Allocator<xbox::services::presence::DevicePresenceChangeSubscription> >	std::_Ref_count_obj_alloc3<xbox::services::presence::DevicePresenceChangeSubscription,xbox::services::Allocator<xbox::services::presence::DevicePresenceChangeSubscription> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::presence::DevicePresenceChangeSubscription>,1>, struct xbox::services::Allocator<xbox::services::presence::DevicePresenceChangeSubscription>, std::_Ref_count_base;
01420A54B0	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_f6663dc3a7886f338d406869a2ff604e> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_f6663dc3a7886f338d406869a2ff604e> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A54D0	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_12ae5de895eb787ef022d192dcc81ca4> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_12ae5de895eb787ef022d192dcc81ca4> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A56C0	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_b00cd7167d229c89d0fa53f1c0cc5151> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_b00cd7167d229c89d0fa53f1c0cc5151> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A56E0	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_fe31f51198bcdd42ac062476b764bab8> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_fe31f51198bcdd42ac062476b764bab8> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A5700	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_f3e453e8c5ea44f14aef0a2e711c231c> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_f3e453e8c5ea44f14aef0a2e711c231c> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A5720	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_7762af73257269e96afbffc4c82e762d> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_7762af73257269e96afbffc4c82e762d> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A5740	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_831b822a7748c3403515cff08767c377> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_831b822a7748c3403515cff08767c377> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A5760	4	M	std::_Ref_count_obj_alloc3<xbox::services::title_storage::TitleStorageService::BlobArgs,xbox::services::Allocator<xbox::services::title_storage::TitleStorageService::BlobArgs> >	std::_Ref_count_obj_alloc3<xbox::services::title_storage::TitleStorageService::BlobArgs,xbox::services::Allocator<xbox::services::title_storage::TitleStorageService::BlobArgs> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::title_storage::TitleStorageService::BlobArgs>,1>, struct xbox::services::Allocator<xbox::services::title_storage::TitleStorageService::BlobArgs>, std::_Ref_count_base;
01420A5810	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_803c469c1b21e8bb8bb2fdb74c60d75b> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_803c469c1b21e8bb8bb2fdb74c60d75b> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A5830	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::vector<xbox::services::system::VerifyStringResult,xbox::services::Allocator<xbox::services::system::VerifyStringResult> > >)>::Callable<<lambda_fe42a53bceb03d3770e0bbb55859d7f9> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::vector<xbox::services::system::VerifyStringResult,xbox::services::Allocator<xbox::services::system::VerifyStringResult> > >)>::Callable<<lambda_fe42a53bceb03d3770e0bbb55859d7f9> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::vector<xbox::services::system::VerifyStringResult,xbox::services::Allocator<xbox::services::system::VerifyStringResult> > >)>::ICallable;
01420A5850	3		xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::Callable<<lambda_ed524a252c95b42b01535971dc6cdb04> >	struct xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::Callable<<lambda_ed524a252c95b42b01535971dc6cdb04> >: struct xbox::services::Function<long __cdecl(XAsyncOp,XAsyncProviderData const * __ptr64)>::ICallable;
01420A58D0	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_411989207fce078b96fca45517799686> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_411989207fce078b96fca45517799686> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A58F0	4	M	std::_Ref_count_obj_alloc3<xbox::services::social::SocialRelationshipChangeSubscription,xbox::services::Allocator<xbox::services::social::SocialRelationshipChangeSubscription> >	std::_Ref_count_obj_alloc3<xbox::services::social::SocialRelationshipChangeSubscription,xbox::services::Allocator<xbox::services::social::SocialRelationshipChangeSubscription> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::social::SocialRelationshipChangeSubscription>,1>, struct xbox::services::Allocator<xbox::services::social::SocialRelationshipChangeSubscription>, std::_Ref_count_base;
01420A5930	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_74d7649ac30209d399932b6d0104156e> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_74d7649ac30209d399932b6d0104156e> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A5EE0	15		std::basic_stringbuf<char,std::char_traits<char>,std::allocator<char> >	std::basic_stringbuf<char,std::char_traits<char>,std::allocator<char> >: std::basic_streambuf<char,std::char_traits<char> >;
